   x    y
 485  537
 486  536
 486  535
 486  534
 487  534
 488  533
 489  532
 490  531
 491  530
 492  529
 493  529
 494  529
 495  529
 496  529
 497  529
 498  529
 499  529
 500  529
 501  529
 502  529
 503  529
 504  529
 505  529
 506  529
 507  530
 508  530
 508  531
 508  532
 508  533
 508  534
 507  535
 506  535
 505  535
 504  536
 503  536
 502  536
 501  537
 500  538
 500  539
 500  540
 499  541
 499  542
 499  543
 499  544
 499  545
 500  546
 501  546
 502  546
 503  546
 504  547
 505  547
 505  548
 505  549
 505  550
 504  550
 503  550
 502  549
 502  548
 501  547
 500  546
 499  545
 498  546
 497  546
 496  546
 495  546
 494  547
 494  548
 493  549
 492  550
 491  551
 490  551
 489  551
 488  550
 488  549
 487  548
 488  547
 488  546
 488  545
 487  544
 486  543
 486  542
 486  541
 486  540
 486  539
 485  538
 485  537
 340  426
 340  427
 340  428
 340  429
 340  430
 341  431
 341  432
 341  433
 341  434
 341  435
 341  436
 341  437
 341  438
 340  439
 340  440
 340  441
 340  442
 340  443
 340  444
 340  445
 341  446
 341  447
 341  448
 341  449
 341  450
 341  451
 341  452
 341  453
 341  454
 341  455
 341  456
 341  457
 342  458
 342  459
 342  460
 342  461
 343  462
 344  463
 344  464
 344  465
 344  466
 345  467
 345  468
 346  469
 345  470
 344  471
 345  472
 346  473
 347  474
 348  474
 349  475
 350  475
 351  475
 352  475
 353  475
 354  475
 355  475
 356  476
 357  476
 358  476
 359  477
 360  478
 361  479
 361  480
 361  481
 361  482
 361  483
 361  484
 360  484
 359  485
 358  485
 357  486
 356  486
 355  486
 354  486
 353  486
 352  486
 351  486
 350  485
 350  484
 349  483
 348  483
 347  482
 346  482
 345  482
 344  481
 343  481
 342  480
 341  479
 340  478
 339  477
 338  476
 337  475
 336  474
 336  473
 335  472
 334  471
 333  470
 333  469
 332  468
 331  467
 330  466
 329  465
 328  464
 327  463
 326  463
 325  464
 324  464
 323  464
 322  465
 321  465
 320  465
 320  464
 320  463
