   x    y
 504  719
 505  718
 506  717
 507  716
 508  715
 509  714
 509  713
 510  712
 510  711
 511  710
 511  709
 511  708
 512  707
 512  706
 512  705
 512  704
 512  703
 512  702
 513  701
 513  700
 513  699
 514  698
 515  698
 516  697
 517  697
 518  696
 519  695
 520  694
 521  694
 522  693
 523  692
 524  691
 525  691
 526  691
 527  691
 528  692
 528  693
 528  694
 528  695
 528  696
 528  697
 528  698
 528  699
 528  700
 529  701
 530  702
 531  703
 531  704
 532  705
 532  706
 532  707
 532  708
 532  709
 533  710
 534  710
 535  709
 536  709
 537  709
 538  709
 539  710
 540  710
 541  710
 542  710
 543  710
 544  710
 545  710
 546  710
 547  710
 548  711
 549  711
 550  712
 551  713
 552  714
 552  715
 552  716
 553  717
 553  718
 553  719
 553  720
 552  721
 552  722
 551  723
 550  724
 549  725
 548  725
 547  725
 546  725
 545  725
 544  725
 543  725
 542  725
 541  724
 540  723
 539  723
 538  723
 537  722
 536  722
 535  721
 534  720
 533  719
 532  718
 531  718
 530  718
 529  718
 528  718
 527  718
 526  718
 526  717
 526  716
 525  715
 524  714
 523  713
 522  713
 521  714
 521  715
 520  716
 519  716
 518  717
 517  717
 516  717
 515  717
 514  718
 513  719
 513  720
 512  721
 511  722
 510  723
 510  724
 509  725
 509  726
 508  727
 507  727
 506  728
 505  728
 504  727
 504  726
 504  725
 504  724
 504  723
 504  722
 504  721
 504  720
 504  719
 356  476
 357  476
 358  476
 359  477
 360  478
 361  479
 361  480
 361  481
 361  482
 361  483
 361  484
 360  484
 359  485
 358  485
 357  486
 356  486
 355  486
 354  486
 353  486
 352  486
 351  486
 350  485
 350  484
 349  483
 348  483
 347  482
 346  482
 345  482
 344  481
 343  481
 342  480
 341  479
 340  478
 339  477
 338  476
 337  475
 336  474
 336  473
 335  472
 334  471
 333  470
 333  469
 332  468
 331  467
 330  466
 329  465
 328  464
 327  463
 326  463
 325  464
 324  464
 323  464
 322  465
 321  465
 320  465
 320  464
 320  463
