   x    y
 320  463
 321  462
 322  461
 322  460
 323  459
 324  458
 324  457
 325  456
 325  455
 326  454
 327  453
 327  452
 327  451
 328  450
 329  449
 329  448
 330  447
 331  446
 332  445
 332  444
 333  443
 333  442
 333  441
 333  440
 333  439
 333  438
 333  437
 333  436
 332  435
 331  434
 330  434
 329  434
 328  434
 327  434
 326  434
 325  434
 324  433
 323  433
 322  432
 322  431
 322  430
 322  429
 323  429
 324  428
 325  427
 326  427
 327  427
 328  427
 329  427
 330  427
 331  427
 332  426
 333  426
 334  425
 334  424
 334  423
 334  422
 334  421
 334  420
 334  419
 334  418
 333  417
 334  417
 335  417
 336  416
 337  416
 338  415
 338  414
 338  413
 338  412
 339  412
 340  411
 340  412
 340  413
 340  414
 341  415
 342  416
 342  417
 342  418
 342  419
 341  420
 341  421
 341  422
 341  423
 340  424
 340  425
 340  426
 340  427
 340  428
 340  429
 340  430
 341  431
 341  432
 341  433
 341  434
 341  435
 341  436
 341  437
 341  438
 340  439
 340  440
 340  441
 340  442
 340  443
 340  444
 340  445
 341  446
 341  447
 341  448
 341  449
 341  450
 341  451
 341  452
 341  453
 341  454
 341  455
 341  456
 341  457
 342  458
 342  459
 342  460
 342  461
 343  462
 344  463
 344  464
 344  465
 344  466
 345  467
 345  468
 346  469
 345  470
 344  471
 345  472
 346  473
 347  474
 348  474
 349  475
 350  475
 351  475
 352  475
 353  475
 354  475
 355  475
 356  476
 357  476
 358  476
 359  477
 360  478
 361  479
 361  480
 361  481
 361  482
 361  483
 361  484
 360  484
 359  485
 358  485
 357  486
 356  486
 355  486
 354  486
 353  486
 352  486
 351  486
 350  485
 350  484
 349  483
 348  483
 347  482
 346  482
 345  482
 344  481
 343  481
 342  480
 341  479
 340  478
 339  477
 338  476
 337  475
 336  474
 336  473
 335  472
 334  471
 333  470
 333  469
 332  468
 331  467
 330  466
 329  465
 328  464
 327  463
 326  463
 325  464
 324  464
 323  464
 322  465
 321  465
 320  465
 320  464
 320  463
