   x    y
 462  151
 463  150
 463  149
 464  148
 464  147
 465  146
 466  145
 467  145
 468  144
 469  144
 470  143
 471  143
 472  143
 473  143
 474  144
 475  144
 476  144
 477  145
 478  145
 479  145
 480  145
 481  145
 482  146
 483  146
 484  147
 485  148
 486  149
 487  149
 488  149
 489  150
 490  150
 491  150
 492  150
 493  150
 494  150
 495  150
 496  151
 497  152
 498  153
 499  154
 500  155
 501  156
 502  157
 503  158
 504  158
 504  159
 505  160
 505  161
 505  162
 505  163
 504  164
 504  165
 503  165
 502  165
 501  166
 500  166
 499  166
 498  166
 497  166
 496  166
 495  166
 494  166
 493  166
 492  166
 491  166
 490  166
 489  166
 488  166
 487  166
 486  166
 485  166
 484  166
 483  166
 482  166
 481  166
 480  166
 479  166
 478  166
 477  166
 476  166
 475  166
 474  166
 473  166
 472  166
 471  165
 470  165
 470  164
 469  163
 468  162
 467  161
 467  160
 467  159
 468  158
 468  157
 468  156
 467  155
 466  155
 465  154
 464  154
 463  153
 462  152
 462  151
 495  644
 495  645
 495  646
 495  647
 495  648
 495  649
 495  650
 496  651
 496  652
 497  653
 498  653
 499  654
 500  655
 501  655
 502  656
 503  656
 504  657
 504  658
 504  659
 504  660
 504  661
 504  662
 504  663
 504  664
 504  665
 505  666
 505  667
 505  668
 505  669
 505  670
 504  670
 503  670
 502  670
 501  670
 500  670
 499  670
 498  669
 497  668
 497  667
 497  666
 496  665
 496  664
 495  663
 495  662
 494  661
 494  660
 494  659
 493  658
 492  657
 491  656
 491  655
 490  654
 490  653
 489  652
 489  651
 489  650
 488  649
 488  648
 487  647
 486  646
 485  645
 484  645
 483  644
 482  644
 481  644
 480  644
 479  644
 478  645
 477  646
 477  647
 476  648
 476  649
 475  649
 474  649
 473  649
 473  648
 473  647
 473  646
 473  645
 472  644
 472  643
 471  642
 470  641
 469  641
 468  642
 467  642
 466  643
 466  644
 465  645
 464  646
 463  647
 462  647
 461  647
 460  647
 460  646
 459  645
 459  644
 459  643
 459  642
 459  641
 460  640
 460  639
 460  638
 459  637
 459  636
 459  635
 459  634
 458  633
 458  632
 458  631
 457  630
 457  629
 456  628
 456  627
 456  626
 456  625
 456  624
 456  623
 456  622
 456  621
 456  620
 436  562
 436  561
 436  560
 436  559
 436  558
 436  557
 436  556
 436  555
 436  554
 436  553
 436  552
 510  389
 509  388
 508  387
 507  387
 506  387
 505  387
 504  386
 503  386
 502  386
 501  387
 500  388
 499  389
 498  389
 497  389
 496  390
 495  390
 494  391
 494  392
 493  393
 492  394
 491  394
 490  395
 489  396
 488  397
 487  398
 486  399
 485  400
 484  401
 484  402
 483  403
 482  404
 482  405
 481  406
 481  407
 480  408
 480  409
 479  410
 478  410
 477  411
 476  411
 475  412
 474  413
 473  413
 472  413
 471  413
 470  412
 469  412
 468  412
 467  412
 466  412
 465  412
 464  412
 463  412
 462  413
 461  413
 460  414
 459  414
 458  415
 457  416
 456  416
 455  417
 455  418
 454  419
 453  419
 452  420
 451  419
 450  419
 449  418
 448  418
 447  418
 446  418
 445  418
 444  417
 443  417
 442  417
 441  417
 440  417
 439  418
 438  418
 437  419
 436  419
 435  420
 434  421
 433  421
 432  422
 432  423
 432  424
 432  425
 432  426
 433  427
 434  427
 435  427
 436  428
 437  429
 438  430
 439  430
 440  430
 441  431
 442  431
 443  431
 444  431
 445  431
 446  430
 447  430
 448  429
 449  429
 450  428
 450  427
 451  426
 452  426
 453  425
 454  424
 454  423
 454  422
 455  421
 456  421
 457  420
 458  420
 459  420
 460  419
 461  419
 462  420
 463  420
 464  420
 465  420
 466  420
 467  420
 468  419
 469  419
 470  419
 471  418
 472  418
 473  418
 474  417
 475  417
 476  417
 477  416
 478  416
 479  415
 480  415
 481  415
 482  415
 483  415
 484  414
 485  413
 486  413
 487  413
 488  412
 489  412
 490  412
 491  412
 492  412
 493  412
 494  412
 495  412
 496  412
 497  412
 498  412
 499  412
 500  412
 501  412
 502  412
 503  412
 504  412
 505  413
 506  413
 505  414
 504  415
 505  416
 506  416
 505  417
 505  418
 504  419
 503  420
 502  420
 501  420
 500  421
 499  422
 499  423
 498  423
 497  424
 497  425
 498  426
 499  427
 500  428
 500  429
 499  430
 498  430
 497  430
 496  430
 495  431
 494  431
 493  431
 492  431
 491  430
 490  430
 489  430
 488  430
 487  430
 486  430
 485  429
 484  429
 483  429
 482  429
 481  429
 480  428
 479  428
 478  428
 477  428
 476  428
 475  428
 474  428
 473  428
 472  428
 471  429
 470  429
 469  429
 468  430
 467  430
 466  430
 465  430
 464  431
 463  431
 462  432
 461  432
 460  433
 459  434
 458  435
 458  436
 457  437
 456  438
 455  439
 454  440
 453  439
 452  438
 451  438
 450  437
 449  437
 448  436
 447  436
 446  436
 445  436
 444  436
 443  436
 442  436
 441  436
 440  437
 439  438
 438  438
 437  438
 436  438
 435  438
 434  438
 433  438
 432  438
 431  438
 430  438
 429  438
 428  438
 427  439
 426  439
 425  439
 424  439
 423  438
 422  438
 421  438
 420  439
 419  440
 418  441
 417  442
 416  443
 415  444
 414  444
 413  444
 412  444
 411  445
 410  446
 409  446
 408  446
 407  446
 407  445
 407  444
 407  443
 408  442
 408  441
 409  440
 410  439
 410  438
 411  437
 412  436
 413  435
 414  435
 415  434
 415  433
 416  432
 417  431
 418  431
 419  430
 420  429
 420  428
 420  427
 419  426
 418  426
 417  426
 416  426
 415  426
 414  426
 413  426
 412  426
 411  426
 410  426
 409  426
 408  426
 407  425
 407  424
 407  423
 407  422
